Unnamed: 0,Species,Owner,Country_of_Origin,Farm.Name,Altitude,Region,Number.of.Bags,Bag.Weight,Harvest.Year,Grading.Date,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,CoffeeScore,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
522,Arabica,exportadora de cafe condor s.a,Colombia,various,1500-1750 msnm,huila,250,70 kg,2012,"May 11th, 2012",Caturra,Washed / Wet,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10.0,10.0,7.58,83.0,0.0,0,0.0,Green,4,m,1500.0,1750.0,1625.0
523,Arabica,exportadora de cafe condor s.a,Colombia,,1750 msnm,huila,250,70 kg,2012,"June 8th, 2012",Caturra,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.42,10.0,10.0,10.0,7.5,83.0,0.11,0,0.0,Green,0,m,1750.0,1750.0,1750.0
524,Arabica,juan luis alvarado romero,Guatemala,la igualdad,4500,ocotepeque,275,1 kg,2012,"April 27th, 2012",Bourbon,Washed / Wet,7.5,7.67,7.5,7.67,7.5,7.83,10.0,10.0,10.0,7.33,83.0,0.1,0,0.0,Green,2,ft,1371.6,1371.6,1371.6
525,Arabica,racafe & cia s.c.a,Colombia,,1600 - 1950 msnm,la plata,121,1 kg,2011,"December 2nd, 2011",Caturra,Washed / Wet,7.67,7.67,7.58,7.5,7.67,7.42,10.0,10.0,10.0,7.5,83.0,0.12,0,0.0,Bluish-Green,0,m,1600.0,1950.0,1775.0
527,Arabica,racafe & cia s.c.a,Colombia,,1050 - 1850 msnm,cauca,300,70 kg,Abril - Julio,"May 12th, 2011",,,7.33,7.67,7.58,7.33,7.58,7.92,10.0,10.0,10.0,7.58,83.0,0.08,0,0.0,,1,m,1050.0,1850.0,1450.0
530,Arabica,exportadora de cafe condor s.a,Colombia,,1800 msnm,huila,250,70 kg,4t/2011,"February 1st, 2011",,,7.5,7.58,7.67,7.67,7.58,7.58,10.0,10.0,10.0,7.42,83.0,0.06,0,0.0,,2,m,1800.0,1800.0,1800.0
533,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,890,Sul de Minas,320,60 kg,2017 / 2018,"October 20th, 2017",Bourbon,Natural / Dry,7.67,7.58,7.5,7.58,7.58,7.5,10.0,10.0,10.0,7.5,82.92,0.0,0,0.0,Green,0,m,890.0,890.0,890.0
534,Arabica,consejo salvadoreño del café,El Salvador,santa josefita,1350,apaneca,100,69 kg,2017,"August 28th, 2017",Bourbon,Washed / Wet,7.5,7.5,7.75,7.58,7.92,7.83,10.0,10.0,9.33,7.5,82.92,0.0,0,0.0,Green,1,m,1350.0,1350.0,1350.0
535,Arabica,racafe & cia s.c.a,Colombia,,1500,guayata,129,70 kg,2017,"July 7th, 2017",Caturra,Washed / Wet,7.58,7.67,7.5,7.33,7.67,7.58,10.0,10.0,10.0,7.58,82.92,0.11,0,0.0,Green,1,m,1500.0,1500.0,1500.0
536,Arabica,"lin, che-hao krude 林哲豪",Taiwan,shi fang yuan 十方源,350,"dongshan dist., tainan city 臺南市東山區",10,20 kg,2016,"June 28th, 2016",Caturra,Natural / Dry,7.17,7.83,7.25,7.67,7.67,7.58,10.0,10.0,10.0,7.75,82.92,0.09,31,0.0,Green,0,m,350.0,350.0,350.0
